trade_date,erp,pe,rf,close
2005-01-04,0.8062452795042301,16.5883,0.052221,14045.9
2005-01-05,1.1433261743645264,16.2556,0.050084,13764.36
2005-01-06,1.0045028554138007,16.1938,0.051707,13712.04
2005-01-07,1.0841471376355187,16.0322,0.0515329999999999,13574.86
2005-01-10,1.0587090108129749,15.9808,0.051988,13531.39
2005-01-11,1.1141455546014658,15.9547,0.051536,13509.25
2005-01-12,1.0773465878945618,16.0209,0.051645,13565.31
2005-01-13,1.0176864344397796,16.0303,0.052205,13573.28
2005-01-14,1.2801704346953118,15.9376,0.049943,13494.78
2005-01-17,1.2421448549796752,16.0874,0.049739,13621.65
2005-01-18,1.1570848577988224,16.0723,0.050648,13604.22
2005-01-19,1.1795805193037179,16.1601,0.050085,13678.63
2005-01-20,1.3238531728473761,16.0014,0.049256,13543.59
2005-01-21,1.347425167641961,15.9268,0.049313,13481.02
2005-01-24,1.3574311108581991,15.8157,0.049654,13386.99
2005-01-25,1.1973119419260367,16.0485,0.050338,13584.06
2005-01-26,1.2048938553490762,16.0953,0.050081,13623.68
2005-01-27,1.2422014967549604,16.1015,0.049684,13628.91
2005-01-28,1.2971735528477977,16.1265,0.049038,13650.06
2005-01-31,1.2704128640252668,16.2111,0.048982,13721.69
2005-02-01,1.346053280512665,16.0417,0.048877,13578.26
2005-02-02,1.319307123901817,16.0151,0.049248,13555.8
2005-02-03,1.365389021599423,15.9495,0.049044,13515.33
2005-02-04,1.298602764505545,16.0318,0.04939,13585.17
2005-02-07,1.2640966766387978,16.2787,0.048789,13795.0
2005-02-08,1.2894506854680756,16.3392,0.048308,13845.63
2005-02-16,1.2896319870612878,16.5395,0.0475649999999999,14015.49
2005-02-17,1.2288727333394007,16.4835,0.048378,13967.82
2005-02-18,1.180837593984962,16.625,0.048342,14087.87
2005-02-21,1.1598879788147567,16.6531,0.04845,14111.65
2005-02-22,1.3545800351210593,16.6282,0.046593,14090.52
2005-02-23,1.300827635703981,16.4273,0.047866,13957.94
2005-02-24,1.3298437622745256,16.5485,0.04713,14060.91
2005-02-25,1.3890164909164024,16.6619,0.046127,14157.09
2005-02-28,1.3180234393838743,16.2564,0.048334,14195.35
2005-03-01,1.4666702406731424,16.163,0.047203,14061.15
2005-03-02,1.5594180128124613,15.922,0.047212,13850.78
2005-03-03,1.6774707732750844,15.7486,0.046723,13892.37
2005-03-04,1.6665305832952884,15.5513,0.047638,13730.78
2005-03-07,1.6857194455663906,15.5979,0.047254,13771.95
2005-03-08,1.6269330182798845,15.7222,0.047335,13881.71
2005-03-09,1.6988895115971134,15.7841,0.046366,13941.47
2005-03-10,1.732299306334796,15.6848,0.046433,13856.02
2005-03-11,1.8211135030009533,15.5284,0.046187,13890.93
2005-03-14,1.8345400818206379,15.5462,0.045979,13906.85
2005-03-15,1.9493122812274155,15.3527,0.0456419999999999,13816.75
2005-03-16,1.93355388313827,15.3703,0.0457249999999999,13832.52
2005-03-17,2.065984865326784,15.3297,0.044573,13817.99
2005-03-18,2.086852421242006,15.3413,0.044315,13828.37
2005-03-21,2.112206906437331,15.348,0.0440329999999999,13834.35
2005-03-22,2.124804092163844,15.2511,0.044321,13776.47
2005-03-23,2.1459080755497713,14.9835,0.045281,13603.61
2005-03-24,2.2116653819968226,14.9818,0.044631,13597.1
2005-03-29,2.5110384535241588,14.5893,0.043433,13411.88
2005-03-30,2.8660793060300582,14.2254,0.041636,13425.75
2005-03-31,2.7249360579654596,14.6087,0.041203,13516.88
2005-04-01,2.580383135417951,14.6022,0.042679,13491.35
2005-04-04,2.729586087693759,14.6259,0.0410759999999999,13513.41
2005-04-06,2.6485852198794158,14.6785,0.041641,13562.26
2005-04-07,2.7126169457218063,14.7223,0.0407979999999999,13602.35
2005-04-08,2.673266022549729,14.7851,0.040903,13666.72
2005-04-11,2.6070444933175434,14.7775,0.0416,13659.93
2005-04-12,2.7447398532775686,14.7762,0.040229,13658.05
2005-04-13,2.633217164024141,14.9289,0.040652,13799.62
2005-04-14,2.6858638890754145,14.893,0.0402869999999999,13772.4
2005-04-15,2.742450544123132,14.7485,0.040379,13638.75
2005-04-18,2.95104050520718,14.4416,0.039734,13355.23
2005-04-19,2.8940618228718833,14.5375,0.039847,13444.09
2005-04-20,2.846614032233605,14.5066,0.040468,13501.63
2005-04-21,2.8467612204387547,14.6095,0.039981,13597.31
2005-04-22,2.753502783970421,14.7128,0.040433,13693.55
2005-04-25,2.8137392546264337,14.7738,0.03955,13750.23
2005-04-26,2.671085332473776,14.8914,0.040442,13859.58
2005-04-27,2.6713400139880834,14.8698,0.040537,13839.64
2005-04-28,2.6696304372234767,14.9626,0.040137,13909.42
2005-04-29,2.5301106614421602,15.1593,0.0406649999999999,13908.97
2005-05-09,2.5037398727327362,15.3378,0.0401609999999999,14085.09
2005-05-10,2.5885671053321455,15.2584,0.039652,14018.38
2005-05-11,2.6708096845436264,15.1685,0.039218,13939.8
2005-05-12,2.617240698844468,15.2051,0.039595,13968.28
2005-05-13,2.7333067478168838,15.116,0.038822,13866.81
2005-05-17,2.772852883370561,14.9079,0.03935,13667.03
2005-05-18,2.8544091623706134,14.8586,0.038757,13627.01
2005-05-19,2.855327427641318,14.9291,0.03843,13698.93
2005-05-20,2.8925309890448165,14.9427,0.037997,13717.42
2005-05-23,3.0068083854801744,14.9258,0.03693,13699.13
2005-05-24,2.9585001150301626,14.9526,0.037293,13719.32
2005-05-25,3.082520277033791,14.7852,0.03681,13562.06
2005-05-26,3.021914335153842,14.7944,0.037374,13569.99
2005-05-27,2.939883159458501,14.9437,0.037519,13714.78
2005-05-30,2.8197533352779742,15.0842,0.038097,13845.1
2005-05-31,2.783124729992242,15.0829,0.038469,13867.07
2005-06-01,2.818478008078935,15.101,0.038036,13873.07
2005-06-02,2.8756615658410336,15.0309,0.037773,13814.58
2005-06-03,2.8737030854467216,15.0351,0.037774,13818.45
2005-06-06,2.8210758707687185,15.2997,0.0371499999999999,13860.55
2005-06-07,2.7779021279381912,15.273,0.037696,13837.29
2005-06-08,2.7372429032846233,15.3564,0.037747,13898.55
2005-06-09,2.7397804360268485,15.3752,0.037642,13898.31
2005-06-10,2.7623032285278573,15.4095,0.037272,13934.76
2005-06-13,2.7863189623400553,15.4116,0.037023,13952.02
2005-06-14,2.749560791976033,15.354,0.037634,13904.81
2005-06-15,2.9435036777537564,15.3572,0.035681,13914.3
2005-06-16,3.0570081806505724,15.2604,0.034959,13833.53
2005-06-17,3.0266168808855975,15.3659,0.034813,13912.03
2005-06-20,2.9730295269888485,15.3971,0.035217,13945.77
2005-06-21,2.931899968271029,15.4433,0.035434,13979.35
2005-06-22,2.8598190587844434,15.6521,0.035291,14161.02
2005-06-23,2.957201857332382,15.6784,0.03421,14190.44
2005-06-24,2.8606399028033103,15.7207,0.035004,14230.29
2005-06-27,2.621149740588341,15.6508,0.037683,14176.04
2005-06-28,2.72518408130319,15.7337,0.036306,14287.44
2005-06-29,2.7759516344110646,15.7182,0.035861,14277.28
2005-06-30,2.730698587287504,15.6649,0.03653,14201.06
2005-07-04,2.802585239005492,15.6419,0.035905,14177.87
2005-07-05,2.8931331454789646,15.5617,0.035329,14124.8
2005-07-06,2.888959683377987,15.5643,0.03536,14149.93
2005-07-07,3.091487400441976,15.4307,0.033891,14030.81
2005-07-08,3.196277198050659,15.3693,0.033102,13964.47
2005-07-11,3.0901686705528877,15.5764,0.033298,14157.24
2005-07-12,3.1427635136785153,15.5609,0.032836,14146.95
2005-07-13,3.1252540443535324,15.7417,0.032273,14307.3
2005-07-14,3.0596018477920457,15.965,0.032041,14491.54
2005-07-15,2.961196189881334,16.01,0.0328489999999999,14504.29
2005-07-18,2.912211537433903,16.0937,0.033014,14567.0
2005-07-19,2.873715341244631,16.0867,0.033426,14567.74
2005-07-20,2.819288960632168,16.1223,0.033833,14602.7
2005-07-21,2.8171430554694,16.1206,0.033861,14620.14
2005-07-22,2.7626870496633775,16.3239,0.033633,14786.46
2005-07-25,2.6946830322873363,16.3098,0.034366,14794.03
2005-07-26,2.66418616049504,16.2896,0.034747,14769.93
2005-07-27,2.5764513244972176,16.3043,0.035569,14801.86
2005-07-28,2.762027798683559,16.3166,0.0336669999999999,14813.32
2005-07-29,2.7289575867299507,16.3496,0.033874,14880.98
2005-08-01,2.9742925179072905,16.1666,0.032113,14978.88
2005-08-02,2.8599525774529155,16.2389,0.0329809999999999,15137.08
2005-08-03,2.94886813832611,16.1994,0.032242,15118.5
2005-08-04,3.0126480364959005,16.221,0.031522,15111.54
2005-08-05,3.036674195744048,16.1609,0.031511,15051.32
2005-08-08,2.99584967430833,16.1963,0.031784,15108.94
2005-08-09,2.9350662610207365,16.106,0.032738,15047.84
2005-08-10,2.9310407034928145,16.2276,0.032313,15346.41
2005-08-11,2.919785648536867,16.0785,0.032997,15445.2
2005-08-12,2.9301689784996414,16.0695,0.032928,15450.95
2005-08-15,2.8767085601322866,16.0862,0.033398,15466.06
2005-08-16,2.9111908079137483,16.0834,0.033064,15443.62
2005-08-17,2.8607667183680556,16.1182,0.033434,15449.58
2005-08-18,3.053177267473613,15.7466,0.032974,15148.09
2005-08-19,3.0070218546224776,15.6269,0.033922,15038.61
2005-08-22,3.0237976093397827,15.7948,0.033074,15218.63
2005-08-23,3.1831463455813167,15.5182,0.032609,14973.89
2005-08-24,3.1596654046066703,15.4298,0.033213,14873.85
2005-08-25,3.1478615452197407,15.1383,0.034579,14889.1
2005-08-26,3.123553651427221,15.2324,0.034414,14982.89
2005-08-29,3.1833844593832437,15.0689,0.0345279999999999,14836.97
2005-08-30,3.343695489082083,14.609,0.0350139999999999,14922.22
2005-08-31,3.3719454365203156,14.4243,0.035608,14903.55
2005-09-01,3.311818233299446,14.6567,0.03511,15143.75
2005-09-02,3.2482603106079218,14.7324,0.0353949999999999,15221.89
2005-09-05,3.257289088219729,14.7382,0.035278,15227.83
2005-09-06,3.372999534528703,14.6733,0.034421,15160.78
2005-09-07,3.3677117574948583,14.6834,0.034427,15224.57
2005-09-08,3.4807574246218227,14.5765,0.033796,15166.17
2005-09-09,3.4982515549213447,14.5763,0.033622,15165.77
2005-09-12,3.5107017797004634,14.6092,0.033343,15199.79
2005-09-13,3.632600069185001,14.454,0.032859,15070.56
2005-09-14,3.606679899924668,14.4691,0.033046,15086.62
2005-09-15,3.6376184036462678,14.3928,0.033103,15041.02
2005-09-16,3.791159893980611,14.337,0.031838,14983.2
2005-09-20,3.4687473170330354,14.5846,0.033878,15241.86
2005-09-21,3.501777095659225,14.5527,0.033698,15223.62
2005-09-22,3.7467800203079578,14.3786,0.03208,15179.95
2005-09-23,3.7010130468123674,14.3445,0.032703,15143.97
2005-09-26,3.5512142766304597,14.4684,0.0336039999999999,15274.31
2005-09-27,3.5500947875039084,14.3885,0.033999,15189.88
2005-09-28,3.8879091695869925,14.0966,0.03206,15221.46
2005-09-29,3.810461994528063,14.2911,0.031869,15431.25
2005-09-30,3.7509447152425297,14.3034,0.032404,15428.52
2005-10-10,4.12178269674742,13.6876,0.031841,14898.77
2005-10-12,4.457859895444361,13.39,0.030104,14575.02
2005-10-13,4.448453457902181,13.433,0.029959,14621.83
2005-10-14,4.497233591325453,13.3079,0.030171,14485.88
2005-10-17,4.5161902387903385,13.359,0.0296939999999999,14541.35
2005-10-18,4.508832310766776,13.4107,0.029479,14597.4
2005-10-19,4.660647874161252,13.2042,0.029127,14372.76
2005-10-20,4.76149643906721,13.1005,0.028718,14408.94
2005-10-21,4.699730986001033,13.1724,0.028919,14487.85
2005-10-24,4.842935753669452,13.0946,0.027938,14402.35
2005-10-25,4.702798895929121,13.1151,0.02922,14424.88
2005-10-26,4.797565950325206,13.1455,0.028096,14458.14
2005-10-27,4.783509369976267,13.063,0.028717,14381.06
2005-10-28,4.802613737638139,12.9127,0.029417,14215.83
2005-10-31,4.591038937396215,13.0679,0.030613,14386.37
2005-11-01,4.576237296076046,13.2341,0.0298,14572.26
2005-11-02,4.564184732594102,13.257,0.02979,14597.48
2005-11-03,4.531793770973945,13.2605,0.030094,14601.59
2005-11-04,4.378448890231023,13.246,0.0317099999999999,14585.79
2005-11-07,4.638906814089449,13.0509,0.030234,14365.79
2005-11-08,4.538438555598022,13.085,0.0310389999999999,14403.2
2005-11-09,4.410119388509283,13.2594,0.031317,14597.55
2005-11-10,4.380807443638444,13.2892,0.031441,14633.33
2005-11-11,4.310300921063444,13.3867,0.031598,14740.6
2005-11-14,4.327346468356717,13.2856,0.031996,14629.49
2005-11-15,4.336023065862674,13.2837,0.03192,14627.41
2005-11-16,4.006523385096435,13.3042,0.035099,14650.54
2005-11-17,3.9952272692072857,13.4298,0.034509,14787.98
2005-11-18,3.9037102259443954,13.5166,0.034946,14883.32
2005-11-21,3.92047814730358,13.5068,0.034832,14885.57
2005-11-22,4.042223333259297,13.5069,0.033614,14885.65
2005-11-23,3.9612199704412596,13.6677,0.033553,15062.35
2005-11-24,3.8436293212153982,13.6877,0.034622,15084.39
2005-11-25,3.8729173385653017,13.6851,0.034343,15081.47
2005-11-28,3.8665111707950786,13.7018,0.034318,15100.0
2005-11-29,3.97163735471618,13.6371,0.033613,15028.76
2005-11-30,4.052395824110964,13.554,0.033255,14937.14
2005-12-01,3.9968908840910418,13.6728,0.033169,15068.03
2005-12-02,3.995549250355248,13.7932,0.032544,15200.38
2005-12-05,3.9485721692937132,13.7607,0.033185,15158.82
2005-12-06,4.0885184597295705,13.608,0.032601,14990.61
2005-12-07,4.009497135911378,13.7391,0.03269,15134.95
2005-12-08,4.11927814730358,13.5068,0.032844,14879.16
2005-12-09,4.060934339583611,13.5354,0.033271,14910.51
2005-12-12,4.113824919855298,13.6004,0.032389,14984.4
2005-12-13,4.076584746949759,13.5645,0.032956,14942.62
2005-12-14,4.1250701053374925,13.5944,0.032309,14976.26
2005-12-15,4.100788953913679,13.67,0.032145,15059.02
2005-12-16,4.152851284870341,13.6434,0.031767,15029.81
2005-12-19,4.101483013720497,13.7823,0.031542,15182.89
2005-12-20,4.071716864320002,13.7699,0.031905,15169.17
2005-12-21,4.107913479868857,13.8169,0.031296,15221.42
2005-12-22,3.97688830512041,13.7821,0.032789,15182.53
2005-12-23,4.107861878677512,13.7831,0.031474,15183.58
2005-12-28,4.130590923945551,13.7086,0.031641,15101.54
2005-12-29,4.147169818200466,13.6579,0.0317459999999999,15045.59
2005-12-30,4.1815035973993275,13.5042,0.032236,14876.43
2006-01-04,4.146131947452,13.854,0.03072,15200.06
2006-01-05,4.187479019592347,13.9187,0.029971,15271.13
2006-01-06,4.06541164626473,13.9856,0.030848,15344.44
2006-01-09,3.997350699014319,14.1628,0.030634,15547.43
