trade_date,erp,pe,rf,close
2005-04-22,2.536802783970421,14.7128,0.0426,13693.55
2005-04-25,2.508739254626434,14.7738,0.0426,13750.23
2005-04-26,2.435285332473777,14.8914,0.0428,13859.58
2005-04-27,2.4750400139880835,14.8698,0.0425,13839.64
2005-04-28,2.4933304372234764,14.9626,0.0419,13909.42
2005-04-29,2.386610661442151,15.1593,0.0421,13908.97
2005-05-03,2.3927956236670616,15.1451,0.0421,13893.98
2005-05-04,2.3780818313379815,15.202,0.042,13945.05
2005-05-05,2.3334976384938546,15.3292,0.0419,14061.7
2005-05-06,2.2582980810095146,15.2945,0.0428,14033.96
2005-05-09,2.229839872732726,15.3378,0.0429,14085.09
2005-05-10,2.323767105332146,15.2584,0.0423,14018.38
2005-05-11,2.3826096845436266,15.1685,0.0421,13939.8
2005-05-12,2.396740698844468,15.2051,0.0418,13968.28
2005-05-13,2.4955067478168838,15.116,0.0412,13866.81
2005-05-17,2.5878528833705614,14.9079,0.0412,13667.03
2005-05-18,2.6601091623706132,14.8586,0.0407,13627.01
2005-05-19,2.5883274276413184,14.9291,0.0411,13698.93
2005-05-20,2.562230989044827,14.9427,0.0412999999999999,13717.42
2005-05-23,2.6298083854801737,14.9258,0.0407,13699.13
2005-05-24,2.6478001150301624,14.9526,0.0404,13719.32
2005-05-25,2.683520277033791,14.7852,0.0408,13562.06
2005-05-26,2.6793143351538413,14.7944,0.0408,13569.99
2005-05-27,2.6117831594585006,14.9437,0.0408,13714.78
2005-05-31,2.6300247299922423,15.0829,0.04,13867.07
2005-06-01,2.712078008078935,15.101,0.0391,13873.07
2005-06-02,2.7629615658410343,15.0309,0.0389,13814.58
2005-06-03,2.6711030854467213,15.0351,0.0398,13818.45
2005-06-06,2.5760758707687184,15.2997,0.0395999999999999,13860.55
2005-06-07,2.6275021279381914,15.273,0.0392,13837.29
2005-06-08,2.5619429032846233,15.3564,0.0395,13898.55
2005-06-09,2.5239804360268483,15.3752,0.0398,13898.31
2005-06-10,2.4395032285278573,15.4095,0.0405,13934.76
2005-06-13,2.3986189623400556,15.4116,0.0409,13952.02
2005-06-14,2.3829607919760427,15.354,0.0412999999999999,13904.81
2005-06-15,2.391603677753756,15.3572,0.0412,13914.3
2005-06-16,2.4629081806505724,15.2604,0.0409,13833.53
2005-06-17,2.4179168808855973,15.3659,0.0409,13912.03
2005-06-20,2.384729526988849,15.3971,0.0411,13945.77
2005-06-21,2.4152999682710297,15.4433,0.0406,13979.35
2005-06-22,2.4389190587844434,15.6521,0.0395,14161.02
2005-06-23,2.418201857332392,15.6784,0.0395999999999999,14190.44
2005-06-24,2.4410399028033103,15.7207,0.0392,14230.29
2005-06-27,2.489449740588341,15.6508,0.039,14176.04
2005-06-28,2.38578408130319,15.7337,0.0397,14287.44
2005-06-29,2.3720516344110645,15.7182,0.0399,14277.28
2005-06-30,2.443698587287504,15.6649,0.0394,14201.06
2005-07-05,2.316033145478965,15.5617,0.0411,14124.8
2005-07-06,2.3449596833779873,15.5643,0.0408,14149.93
2005-07-07,2.4305874004419756,15.4307,0.0405,14030.81
2005-07-08,2.3964771980506594,15.3693,0.0411,13964.47
2005-07-11,2.3099686705528883,15.5764,0.0411,14157.24
2005-07-12,2.2763635136785147,15.5609,0.0415,14146.95
2005-07-13,2.182554044353533,15.7417,0.0417,14307.3
2005-07-14,2.0737018477920452,15.965,0.0419,14491.54
2005-07-15,2.066096189881324,16.01,0.0418,14504.29
2005-07-18,1.993611537433913,16.0937,0.0421999999999999,14567.0
2005-07-19,2.0163153412446304,16.0867,0.042,14567.74
2005-07-20,2.032588960632168,16.1223,0.0417,14602.7
2005-07-21,1.9232430554694009,16.1206,0.0428,14620.14
2005-07-22,1.8959870496633782,16.3239,0.0423,14786.46
2005-07-25,1.8812830322873362,16.3098,0.0425,14794.03
2005-07-26,1.8988861604950396,16.2896,0.0424,14769.93
2005-07-27,1.863351324497228,16.3043,0.0426999999999999,14801.86
2005-07-28,1.928727798683549,16.3166,0.042,14813.32
2005-07-29,1.8363575867299513,16.3496,0.0428,14880.98
2005-08-01,1.8655925179072907,16.1666,0.0432,14978.88
2005-08-02,1.8180525774529057,16.2389,0.0434,15137.08
2005-08-03,1.8730681383261105,16.1994,0.043,15118.5
2005-08-04,1.8448480364959003,16.221,0.0432,15111.54
2005-08-05,1.7877741957440483,16.1609,0.044,15051.32
2005-08-08,1.7542496743083396,16.1963,0.0441999999999999,15108.94
2005-08-09,1.7988662610207369,16.106,0.0441,15047.84
2005-08-10,1.7623407034928151,16.2276,0.044,15346.41
2005-08-11,1.8994856485368663,16.0785,0.0432,15445.2
2005-08-12,1.982968978499641,16.0695,0.0424,15450.95
2005-08-15,1.9465085601322967,16.0862,0.0426999999999999,15466.06
2005-08-16,1.9875908079137492,16.0834,0.0423,15443.62
2005-08-17,1.9241667183680562,16.1182,0.0428,15449.58
2005-08-18,2.1405772674736134,15.7466,0.0421,15148.09
2005-08-19,2.1892218546224775,15.6269,0.0421,15038.61
2005-08-22,2.1111976093397926,15.7948,0.0421999999999999,15218.63
2005-08-23,2.2440463455813164,15.5182,0.042,14973.89
2005-08-24,2.29096540460667,15.4298,0.0419,14873.85
2005-08-25,2.425761545219741,15.1383,0.0418,14889.1
2005-08-26,2.3649536514272205,15.2324,0.042,14982.89
2005-08-29,2.4361844593832336,15.0689,0.042,14836.97
2005-08-30,2.685095489082073,14.609,0.0416,14922.22
2005-08-31,2.912745436520325,14.4243,0.0401999999999999,14903.55
2005-09-01,2.8028182332994556,14.6567,0.0401999999999999,15143.75
2005-09-02,2.757760310607911,14.7324,0.0403,15221.89
2005-09-06,2.7250995345287032,14.6733,0.0409,15160.78
2005-09-07,2.660411757494858,14.6834,0.0415,15224.57
2005-09-08,2.7103574246218223,14.5765,0.0415,15166.17
2005-09-09,2.720451554921345,14.5763,0.0414,15165.77
2005-09-12,2.6650017797004635,14.6092,0.0418,15199.79
2005-09-13,2.778500069185001,14.454,0.0414,15070.56
2005-09-14,2.7412798999246677,14.4691,0.0417,15086.62
2005-09-15,2.727918403646278,14.3928,0.0421999999999999,15041.02
2005-09-16,2.7149598939806108,14.337,0.0426,14983.2
2005-09-20,2.5965473170330355,14.5846,0.0426,15241.86
2005-09-21,2.6815770956592244,14.5527,0.0419,15223.62
2005-09-22,2.764780020307957,14.3786,0.0419,15179.95
2005-09-23,2.7213130468123676,14.3445,0.0425,15143.97
2005-09-26,2.6116142766304495,14.4684,0.043,15274.31
2005-09-27,2.6499947875039087,14.3885,0.043,15189.88
2005-09-28,2.8339091695869927,14.0966,0.0426,15221.46
2005-09-29,2.707361994528063,14.2911,0.0429,15431.25
2005-09-30,2.65134471524253,14.3034,0.0434,15428.52
2005-10-03,2.6168737431420324,14.2717,0.0438999999999999,15394.39
2005-10-04,2.6324260189055,14.2604,0.0438,15382.21
2005-10-05,2.754855105975767,14.0551,0.0436,15161.03
2005-10-06,2.965196473237536,13.6329,0.0437,14839.3
2005-10-07,2.9810020746735875,13.6407,0.0435,14847.79
2005-10-12,3.018259895444361,13.39,0.0445,14575.02
2005-10-13,2.964353457902181,13.433,0.0448,14621.83
2005-10-14,3.0343335913254537,13.3079,0.0448,14485.88
2005-10-17,2.985590238790328,13.359,0.045,14541.35
2005-10-18,2.9667323107667753,13.4107,0.0449,14597.4
2005-10-19,3.103347874161252,13.2042,0.0447,14372.76
2005-10-20,3.1732964390672107,13.1005,0.0446,14408.94
2005-10-21,3.2016309860010432,13.1724,0.0438999999999999,14487.85
2005-10-24,3.186735753669452,13.0946,0.0445,14402.35
2005-10-25,3.0847988959291204,13.1151,0.0454,14424.88
2005-10-26,3.0071659503252066,13.1455,0.046,14458.14
2005-10-27,3.085209369976268,13.063,0.0457,14381.06
2005-10-28,3.164313737638139,12.9127,0.0458,14215.83
2005-10-31,3.082338937396216,13.0679,0.0457,14386.37
2005-11-01,2.9762372960760457,13.2341,0.0458,14572.26
2005-11-02,2.9331847325941016,13.257,0.0461,14597.48
2005-11-03,2.8911937709739446,13.2605,0.0465,14601.59
2005-11-04,2.8894488902310123,13.246,0.0466,14585.79
2005-11-07,3.012306814089449,13.0509,0.0465,14365.79
2005-11-08,3.0723385555980123,13.085,0.0457,14403.2
2005-11-09,2.901819388509284,13.2594,0.0464,14597.55
2005-11-10,2.974907443638444,13.2892,0.0455,14633.33
2005-11-14,2.9169464683567163,13.2856,0.0461,14629.49
2005-11-15,2.968023065862684,13.2837,0.0455999999999999,14627.41
2005-11-16,3.026423385096435,13.3042,0.0449,14650.54
2005-11-17,2.9861272692072856,13.4298,0.0446,14787.98
2005-11-18,2.898310225944395,13.5166,0.045,14883.32
2005-11-21,2.9436781473035802,13.5068,0.0446,14885.57
2005-11-22,2.9736233332592974,13.5069,0.0443,14885.65
2005-11-23,2.8465199704412596,13.6677,0.0447,15062.35
2005-11-25,2.877217338565302,13.6851,0.0443,15081.47
2005-11-28,2.8883111707950784,13.7018,0.0441,15100.0
2005-11-29,2.85293735471618,13.6371,0.0448,15028.76
2005-11-30,2.887895824110964,13.554,0.0449,14937.14
2005-12-01,2.7937908840910417,13.6728,0.0452,15068.03
2005-12-02,2.729949250355248,13.7932,0.0452,15200.38
2005-12-05,2.6970721692937136,13.7607,0.0457,15158.82
2005-12-06,2.8586184597295707,13.608,0.0449,14990.61
2005-12-07,2.7584971359113775,13.7391,0.0452,15134.95
2005-12-08,2.9336781473035805,13.5068,0.0447,14879.16
2005-12-09,2.848034339583611,13.5354,0.0454,14910.51
2005-12-12,2.792724919855308,13.6004,0.0455999999999999,14984.4
2005-12-13,2.8321847469497587,13.5645,0.0454,14942.62
2005-12-14,2.9059701053374916,13.5944,0.0445,14976.26
2005-12-15,2.8452889539136796,13.67,0.0447,15059.02
2005-12-16,2.879551284870341,13.6434,0.0445,15029.81
2005-12-19,2.805683013720497,13.7823,0.0445,15182.89
2005-12-20,2.792216864320002,13.7699,0.0447,15169.17
2005-12-21,2.7475134798688563,13.8169,0.0449,15221.42
2005-12-22,2.8157883051204093,13.7821,0.0444,15182.53
2005-12-23,2.875261878677512,13.7831,0.0438,15183.58
2005-12-28,2.9146909239455514,13.7086,0.0438,15101.54
2005-12-29,2.9517698182004564,13.6579,0.0437,15045.59
2005-12-30,3.015103597399338,13.5042,0.0438999999999999,14876.43
2006-01-03,2.9714431809005015,13.6213,0.0437,14944.77
2006-01-04,2.8581319474519997,13.854,0.0436,15200.06
2006-01-05,2.8245790195923473,13.9187,0.0436,15271.13
2006-01-06,2.7702116462647304,13.9856,0.0438,15344.44
2006-01-09,2.680750699014319,14.1628,0.0438,15547.43
2006-01-10,2.616719751955465,14.191,0.0443,15569.91
2006-01-11,2.550263025068701,14.2648,0.0446,15650.88
2006-01-12,2.5597308615779877,14.3272,0.0441999999999999,15719.37
2006-01-13,2.5876770441802774,14.3933,0.0436,15787.97
2006-01-17,2.703940098333404,14.1966,0.0434,15576.2
2006-01-18,2.747172218284904,14.11,0.0434,15481.21
2006-01-19,2.6214773117127717,14.2827,0.0438,15670.42
2006-01-20,2.6351557946648727,14.2752,0.0437,15662.08
2006-01-23,2.734563436038963,14.0953,0.0436,15464.77
2006-01-24,2.6645915606389226,14.1551,0.044,15530.57
2006-01-25,2.5788862969639137,14.1465,0.0449,15520.39
2006-01-26,2.540185733779226,14.1439,0.0453,15520.07
2006-01-27,2.4456800941759953,14.3561,0.0452,15753.14
2006-02-01,2.400389784196734,14.3464,0.0457,15742.3
2006-02-02,2.422860289644274,14.3003,0.0457,15691.69
2006-02-03,2.5715662513511974,14.0616,0.0454,15429.73
2006-02-06,2.5074618544186773,14.1694,0.0455,15548.06
2006-02-07,2.5017356868069704,14.1408,0.0457,15517.01
2006-02-08,2.57780969171801,14.0099,0.0455999999999999,15373.44
2006-02-09,2.5792618749288074,14.0464,0.0454,15413.43
2006-02-10,2.526070221380955,14.0527,0.0458999999999999,15425.95
2006-02-13,2.5890754760266113,13.9488,0.0458,15312.09
2006-02-14,2.4986537202084342,14.0476,0.0462,15420.32
2006-02-15,2.5073870648607484,14.0501,0.0461,15423.26
2006-02-16,2.5146443059828316,14.0753,0.0458999999999999,15450.88
2006-02-17,2.5533053384215973,14.0978,0.0454,15475.69
2006-02-21,2.4546424456995144,14.2356,0.0457,15627.24
2006-02-22,2.4960737597223304,14.2327,0.0453,15635.72
2006-02-23,2.387483968680751,14.3937,0.0455999999999999,15812.53
2006-02-24,2.3485664795953713,14.433,0.0458,15856.05
2006-02-27,2.2977638874539474,14.5185,0.0458999999999999,15949.89
2006-02-28,2.397677044180278,14.3933,0.0455,15918.48
2006-03-01,2.4015402363140703,14.303,0.0458999999999999,15818.09
2006-03-02,2.3232064172910354,14.3612,0.0464,15882.45
2006-03-03,2.488304624273322,13.9503,0.0467999999999999,15802.0
2006-03-06,2.8166940974662404,13.2333,0.0474,15811.83
2006-03-07,2.970635279240657,12.9691,0.0474,15602.36
2006-03-08,3.010836784456399,12.9185,0.0473,15493.09
2006-03-09,3.1959410835733957,12.6009,0.0474,15510.13
2006-03-10,3.205271416623531,12.5545,0.0475999999999999,15445.05
2006-03-13,3.144585790152683,12.6349,0.0476999999999999,15542.07
2006-03-14,3.217259467129619,12.6147,0.0471,15519.76
2006-03-15,3.1743885165043633,12.6512,0.0473,15720.36
2006-03-16,3.359675688231384,12.4849,0.0465,15729.04
2006-03-17,3.293273586936598,12.5419,0.0467999999999999,15801.66
2006-03-20,3.2685793571507844,12.6126,0.0466,15929.95
2006-03-21,3.229532520325203,12.5952,0.0471,15922.75
2006-03-22,3.4875941573328104,12.2136,0.047,15642.81
2006-03-23,3.323604793505572,12.4168,0.0473,15771.17
2006-03-24,3.5052779594506216,12.232,0.0467,15716.46
2006-03-27,3.4251929733331172,12.3074,0.047,15815.87
2006-03-28,3.311167378219202,12.3439,0.0479,15856.58
2006-03-29,3.342749922548877,12.2658,0.0481,15745.11
2006-03-30,3.2252508853349724,12.3682,0.0486,15880.69
2006-03-31,3.265589105210129,12.3068,0.0486,15805.04
2006-04-03,3.112519002213938,12.5117,0.0487999999999999,16063.75
