市场,ERP均值,ERP中位数,ERP标准差,ERP最小值,ERP最大值,PE均值,PE中位数,PE标准差,Rf均值,Rf标准差
CSI300,0.04214110714460005,0.0447184971792985,0.019604477520666654,0.0004307889742221,0.0833427901234568,14.095558426851664,13.1312,3.7333540767225535,3.342212364823505,0.5925649203683605
SPX,0.0220730791522858,0.021734095673605097,0.013950982085058792,-0.0124810827563001,0.0619124159920726,20.4908696884984,19.493850000000002,4.793312141119619,2.9255201677316296,1.1306300452286613
HSI_mixed,0.059797909743843955,0.0668526319829722,0.02472624127685143,0.0006640504586095,0.1128734147410035,11.74071368904439,10.7161,3.0333991093984314,3.0482584386617098,0.8160346301013179
HSI_us,0.06100474526365107,0.067476277516429,0.026272295315966046,-0.0016276495413904,0.1187915397815487,11.74705215346017,10.7247,3.039470453329509,2.924994564081121,1.1313595800377003
HSI_cn,0.05701906759997188,0.0612838076491531,0.023333055254835342,0.0042983504586095,0.1156060602636535,11.718827316663164,10.6816,3.0307283977530157,3.3423127968060515,0.5923430352510272
