trade_date,erp,pe,rf,close
2005-01-03,1.2160298442435469,18.362,0.0423,1202.08
2005-01-04,1.2202187005802267,18.1481,0.0429,1188.05
2005-01-05,1.2401475996394344,18.0827,0.0429,1183.74
2005-01-06,1.2178817788254994,18.1558,0.0429,1187.89
2005-01-07,1.2254155865644476,18.131,0.0429,1186.19
2005-01-10,1.2059549771368268,18.1952,0.0429,1190.25
2005-01-11,1.2695054410333535,18.0848,0.0426,1182.99
2005-01-12,1.2579727906144145,18.1555,0.0425,1187.7
2005-01-13,1.3558333472229176,17.9991,0.042,1177.45
2005-01-14,1.2922380526379742,18.1086,0.0423,1184.52
2005-01-18,1.2591730063497089,18.2843,0.0421,1195.98
2005-01-19,1.321719684378503,18.1103,0.042,1184.63
2005-01-20,1.3951089926596207,17.9691,0.0417,1175.41
2005-01-21,1.4416132646202104,17.852,0.0416,1167.87
2005-01-24,1.4815778644750015,17.7886,0.0414,1163.75
2005-01-25,1.3989160498527475,17.8606,0.042,1168.41
2005-01-26,1.3622102729268581,17.9462,0.0421,1174.07
2005-01-27,1.3492931453140065,17.9556,0.0421999999999999,1174.55
2005-01-28,1.428496638519272,17.8939,0.0416,1171.36
2005-01-31,1.4147840577697544,18.0025,0.0414,1181.27
2005-02-01,1.3670587456415237,18.1256,0.0415,1189.41
2005-02-02,1.349763510169062,18.1826,0.0415,1193.19
2005-02-03,1.3351114052503856,18.132,0.0418,1189.89
2005-02-04,1.3650314482562989,18.3317,0.0409,1203.03
2005-02-07,1.3909595998208797,18.3118,0.0407,1201.72
2005-02-08,1.4080981802700663,18.3214,0.0405,1202.3
2005-02-09,1.5056983978417664,18.163,0.04,1191.99
2005-02-10,1.412666549703113,18.2393,0.0407,1197.01
2005-02-11,1.344932673407503,18.3657,0.0409999999999999,1205.3
2005-02-14,1.361110857192605,18.3786,0.0408,1206.14
2005-02-15,1.3232287734825912,18.4392,0.0409999999999999,1210.12
2005-02-16,1.2623759767054725,18.4421,0.0416,1210.34
