trade_date,erp,pe,rf,close
2005-04-08,2.317902499198974,15.605,0.040903,1003.445
2005-04-11,2.291987534760082,15.4991,0.0416,995.421
2005-04-12,2.5872280381800996,15.1283,0.040229,978.697
2005-04-13,2.3560053886755616,15.5734,0.040652,1000.9
2005-04-14,2.446683828376437,15.4431,0.0402869999999999,986.975
2005-04-15,2.5236075719797384,15.2404,0.040379,974.082
2005-04-18,2.504542605428516,15.437,0.039734,963.772
2005-04-19,2.5056456109037804,15.4075,0.039847,965.886
2005-04-20,2.5267414954806915,15.2125,0.040468,950.867
2005-04-21,2.6160940604537326,15.119,0.039981,943.981
2005-04-22,2.546051607801793,15.176,0.040433,939.101
2005-04-25,2.6997767987861687,15.0268,0.03955,930.07
2005-04-26,2.5351369344237487,15.1991,0.040442,937.083
2005-04-27,2.600678248168383,15.0277,0.040537,926.604
2005-04-28,2.4921422463372105,15.3708,0.040137,942.073
2005-04-29,2.5266312758368423,15.1673,0.0406649999999999,932.395
2005-05-09,2.7078095499687445,14.8723,0.0401609999999999,909.174
2005-05-10,2.71299768800796,14.9741,0.039652,913.076
2005-05-11,2.839479504533438,14.7901,0.039218,901.851
2005-05-12,2.9581385948892485,14.4558,0.039595,885.82
2005-05-13,3.0295575908377748,14.4681,0.038822,887.543
2005-05-16,3.019993456216035,14.2792,0.039832,875.271
2005-05-17,3.0681444118409162,14.2793,0.03935,881.462
2005-05-18,3.124111005102863,14.2861,0.038757,883.196
2005-05-19,3.1580851682010707,14.2835,0.03843,884.171
2005-05-20,3.2195186205831563,14.2466,0.037997,882.763
2005-05-23,3.503004778147174,13.8966,0.03693,863.341
2005-05-24,3.4785305871498804,13.8738,0.037293,868.456
2005-05-25,3.543441731265216,13.8419,0.03681,868.451
2005-05-26,3.5793341025659795,13.6673,0.037374,857.331
2005-05-27,3.615722247272138,13.5729,0.037519,849.508
2005-05-30,3.5033420792441237,13.6742,0.038097,855.612
2005-05-31,3.459569879077923,13.6865,0.038469,855.946
2005-06-01,3.6692362402666308,13.3818,0.038036,837.532
2005-06-02,3.8746290513138364,13.0686,0.037773,818.379
2005-06-03,3.897668308107942,13.0292,0.037774,818.033
2005-06-06,3.7830505068682245,13.3368,0.0371499999999999,838.997
2005-06-07,3.7725037944324185,13.2589,0.037696,837.282
2005-06-08,3.1808056304818075,14.3771,0.037747,905.773
2005-06-09,3.097098843871144,14.5745,0.037642,912.604
2005-06-10,3.292166431985849,14.2463,0.037272,894.556
2005-06-13,3.3342549027196284,14.2115,0.037023,892.959
2005-06-14,3.337410202444098,14.0829,0.037634,883.537
2005-06-15,3.6643360291033233,13.8266,0.035681,866.834
2005-06-16,3.6501218096585637,13.9938,0.034959,879.237
2005-06-17,3.6721340059945775,13.9793,0.034813,880.345
2005-06-20,3.4332735015509597,14.3782,0.035217,906.255
2005-06-21,3.5154069204543053,14.1667,0.035434,896.166
2005-06-22,3.53160084516589,14.1629,0.035291,900.646
2005-06-23,3.6813231699088766,14.0799,0.03421,893.572
2005-06-24,3.5455749867887976,14.1925,0.035004,898.301
2005-06-27,3.1467076410834443,14.4613,0.037683,916.043
2005-06-28,3.386352958347367,14.2512,0.036306,903.716
2005-06-29,3.474152192208305,14.1638,0.035861,898.898
