trade_date,close,pe
2006-06-20,1240.12,16.062
2006-06-21,1252.2,16.2186
2006-06-22,1245.6,16.1325
2006-06-23,1244.5,16.1178
2006-06-26,1250.56,16.1905
2006-06-27,1239.2,16.0434
2006-06-28,1246.0,16.1377
2006-06-29,1272.87,16.4845
2006-06-30,1270.2,15.9391
2006-07-03,1280.19,16.0607
2006-07-05,1270.91,15.9442
2006-07-06,1274.08,15.9841
2006-07-07,1265.48,15.8761
2006-07-10,1267.34,15.8993
2006-07-11,1272.52,15.9643
2006-07-12,1258.6,15.7895
2006-07-13,1242.29,15.5842
2006-07-14,1236.2,15.5079
2006-07-17,1234.49,15.4863
2006-07-18,1236.86,15.503
2006-07-19,1259.81,15.7906
2006-07-20,1249.13,15.6568
2006-07-21,1240.29,15.5458
2006-07-24,1260.91,15.8044
2006-07-25,1268.88,15.9041
2006-07-26,1268.4,15.8979
2006-07-27,1263.2,15.8339
2006-07-28,1278.55,16.0261
2006-07-31,1276.66,15.969
2006-08-01,1270.92,15.8594
2006-08-02,1278.55,15.9535
2006-08-03,1280.27,15.9747
2006-08-04,1279.36,15.9696
2006-08-07,1275.77,15.9253
2006-08-08,1271.48,15.8715
2006-08-09,1265.95,15.803
2006-08-10,1271.81,15.8738
2006-08-11,1266.74,15.8253
2006-08-14,1268.21,15.8438
2006-08-15,1285.58,16.0608
2006-08-16,1295.43,16.1835
2006-08-17,1297.48,16.2086
2006-08-18,1302.3,16.2688
2006-08-21,1297.52,16.209
2006-08-22,1298.82,16.2259
2006-08-23,1292.99,16.155
2006-08-24,1296.06,16.1925
2006-08-25,1295.09,16.1801
2006-08-28,1301.78,16.2605
2006-08-29,1304.28,16.291
2006-08-30,1304.27,16.2909
2006-08-31,1303.82,16.269
2006-09-01,1311.01,16.3596
2006-09-05,1313.25,16.3877
2006-09-06,1300.26,16.2234
2006-09-07,1294.02,16.1453
2006-09-08,1298.92,16.2065
2006-09-11,1299.54,16.2075
2006-09-12,1313.11,16.3763
2006-09-13,1318.07,16.4383
2006-09-14,1316.28,16.416
2006-09-15,1319.87,16.4608
2006-09-18,1321.18,16.4807
2006-09-19,1318.31,16.4446
2006-09-20,1325.18,16.5301
2006-09-21,1318.03,16.441
2006-09-22,1314.78,16.4007
2006-09-25,1326.37,16.5431
2006-09-26,1336.34,16.6679
2006-09-27,1336.59,16.6709
2006-09-28,1339.15,16.7027
2006-09-29,1335.85,16.6517
2006-10-02,1331.32,15.9022
2006-10-03,1334.11,15.9355
2006-10-04,1350.22,16.1288
2006-10-05,1353.22,16.1644
2006-10-06,1349.58,16.121
2006-10-09,1350.66,16.1334
2006-10-10,1353.42,16.1665
2006-10-11,1349.95,16.1253
2006-10-12,1362.83,16.2793
2006-10-13,1365.62,16.313
2006-10-16,1369.05,16.3541
2006-10-17,1364.05,16.2944
2006-10-18,1365.96,16.3163
2006-10-19,1366.96,16.3271
2006-10-20,1368.6,16.3462
2006-10-23,1377.02,16.4472
2006-10-24,1377.38,16.4518
2006-10-25,1382.22,16.5079
2006-10-26,1389.08,16.5891
2006-10-27,1377.34,16.4479
2006-10-30,1377.93,16.4387
2006-10-31,1377.94,16.4264
2006-11-01,1367.81,16.3042
2006-11-02,1367.34,16.2979
2006-11-03,1364.3,16.2661
2006-11-06,1379.78,16.4709
2006-11-07,1382.84,16.5085
2006-11-08,1385.72,16.5434
2006-11-09,1378.33,16.4544
2006-11-10,1380.9,16.4955
2006-11-13,1384.42,16.5372
2006-11-14,1393.22,16.6422
2006-11-15,1396.57,16.6823
2006-11-16,1399.76,16.7208
2006-11-17,1401.2,16.7449
2006-11-20,1400.5,16.7285
2006-11-21,1402.81,16.7563
2006-11-22,1406.09,16.7955
2006-11-24,1400.95,16.7026
2006-11-27,1381.9,16.4729
2006-11-28,1386.72,16.5309
2006-11-29,1399.48,16.6826
2006-11-30,1400.63,16.7023
2006-12-01,1396.71,16.6539
2006-12-04,1409.12,16.8085
2006-12-05,1414.76,16.8756
2006-12-06,1412.9,16.8539
2006-12-07,1407.29,16.7843
2006-12-08,1409.84,16.8148
2006-12-11,1413.04,16.852
2006-12-12,1411.56,16.8349
2006-12-13,1413.21,16.8554
2006-12-14,1425.49,17.0023
2006-12-15,1427.09,17.0213
2006-12-18,1422.48,16.9756
2006-12-19,1425.55,17.0124
2006-12-20,1423.53,16.9932
2006-12-21,1418.3,16.9307
2006-12-22,1410.76,16.8408
2006-12-26,1416.9,16.9195
2006-12-27,1426.84,17.0373
2006-12-28,1424.73,17.0124
2006-12-29,1418.3,16.9309
2007-01-03,1416.6,16.5077
2007-01-04,1418.34,16.5347
2007-01-05,1409.71,16.4341
2007-01-08,1412.84,16.4716
2007-01-09,1412.11,16.4631
2007-01-10,1414.85,16.5025
2007-01-11,1423.82,16.6081
2007-01-12,1430.73,16.689
2007-01-16,1431.9,16.7029
2007-01-17,1430.62,16.6872
2007-01-18,1426.37,16.6375
2007-01-19,1430.5,16.6858
2007-01-22,1422.95,16.5977
2007-01-23,1427.99,16.6564
2007-01-24,1440.13,16.7982
2007-01-25,1423.9,16.6092
2007-01-26,1422.18,16.5881
2007-01-29,1420.62,16.5605
2007-01-30,1428.82,16.656
2007-01-31,1438.24,16.756
2007-02-01,1445.94,16.8365
