trade_date,close,pe
2005-05-11,13939.8,15.1685
2005-05-12,13968.28,15.2051
2005-05-13,13866.81,15.116
2005-05-17,13667.03,14.9079
2005-05-18,13627.01,14.8586
2005-05-19,13698.93,14.9291
2005-05-20,13717.42,14.9427
2005-05-23,13699.13,14.9258
2005-05-24,13719.32,14.9526
2005-05-25,13562.06,14.7852
2005-05-26,13569.99,14.7944
2005-05-27,13714.78,14.9437
2005-05-30,13845.1,15.0842
2005-05-31,13867.07,15.0829
2005-06-01,13873.07,15.101
2005-06-02,13814.58,15.0309
2005-06-03,13818.45,15.0351
2005-06-06,13860.55,15.2997
2005-06-07,13837.29,15.273
2005-06-08,13898.55,15.3564
2005-06-09,13898.31,15.3752
2005-06-10,13934.76,15.4095
2005-06-13,13952.02,15.4116
2005-06-14,13904.81,15.354
2005-06-15,13914.3,15.3572
2005-06-16,13833.53,15.2604
2005-06-17,13912.03,15.3659
2005-06-20,13945.77,15.3971
2005-06-21,13979.35,15.4433
2005-06-22,14161.02,15.6521
2005-06-23,14190.44,15.6784
2005-06-24,14230.29,15.7207
2005-06-27,14176.04,15.6508
2005-06-28,14287.44,15.7337
2005-06-29,14277.28,15.7182
2005-06-30,14201.06,15.6649
2005-07-04,14177.87,15.6419
2005-07-05,14124.8,15.5617
2005-07-06,14149.93,15.5643
2005-07-07,14030.81,15.4307
2005-07-08,13964.47,15.3693
2005-07-11,14157.24,15.5764
2005-07-12,14146.95,15.5609
2005-07-13,14307.3,15.7417
2005-07-14,14491.54,15.965
2005-07-15,14504.29,16.01
2005-07-18,14567.0,16.0937
2005-07-19,14567.74,16.0867
2005-07-20,14602.7,16.1223
2005-07-21,14620.14,16.1206
2005-07-22,14786.46,16.3239
2005-07-25,14794.03,16.3098
2005-07-26,14769.93,16.2896
2005-07-27,14801.86,16.3043
2005-07-28,14813.32,16.3166
2005-07-29,14880.98,16.3496
2005-08-01,14978.88,16.1666
2005-08-02,15137.08,16.2389
2005-08-03,15118.5,16.1994
2005-08-04,15111.54,16.221
2005-08-05,15051.32,16.1609
2005-08-08,15108.94,16.1963
2005-08-09,15047.84,16.106
2005-08-10,15346.41,16.2276
2005-08-11,15445.2,16.0785
2005-08-12,15450.95,16.0695
2005-08-15,15466.06,16.0862
2005-08-16,15443.62,16.0834
2005-08-17,15449.58,16.1182
2005-08-18,15148.09,15.7466
2005-08-19,15038.61,15.6269
2005-08-22,15218.63,15.7948
2005-08-23,14973.89,15.5182
2005-08-24,14873.85,15.4298
2005-08-25,14889.1,15.1383
2005-08-26,14982.89,15.2324
2005-08-29,14836.97,15.0689
2005-08-30,14922.22,14.609
2005-08-31,14903.55,14.4243
2005-09-01,15143.75,14.6567
2005-09-02,15221.89,14.7324
2005-09-05,15227.83,14.7382
2005-09-06,15160.78,14.6733
2005-09-07,15224.57,14.6834
2005-09-08,15166.17,14.5765
2005-09-09,15165.77,14.5763
2005-09-12,15199.79,14.6092
2005-09-13,15070.56,14.454
2005-09-14,15086.62,14.4691
2005-09-15,15041.02,14.3928
2005-09-16,14983.2,14.337
2005-09-20,15241.86,14.5846
2005-09-21,15223.62,14.5527
2005-09-22,15179.95,14.3786
2005-09-23,15143.97,14.3445
2005-09-26,15274.31,14.4684
2005-09-27,15189.88,14.3885
2005-09-28,15221.46,14.0966
2005-09-29,15431.25,14.2911
2005-09-30,15428.52,14.3034
2005-10-03,15394.39,14.2717
2005-10-04,15382.21,14.2604
2005-10-05,15161.03,14.0551
2005-10-06,14839.3,13.6329
2005-10-07,14847.79,13.6407
2005-10-10,14898.77,13.6876
2005-10-12,14575.02,13.39
2005-10-13,14621.83,13.433
2005-10-14,14485.88,13.3079
2005-10-17,14541.35,13.359
2005-10-18,14597.4,13.4107
2005-10-19,14372.76,13.2042
2005-10-20,14408.94,13.1005
2005-10-21,14487.85,13.1724
2005-10-24,14402.35,13.0946
2005-10-25,14424.88,13.1151
2005-10-26,14458.14,13.1455
2005-10-27,14381.06,13.063
